doc_id,question,choices,correct_answer,llada_prediction,llama_prediction,llada_correct,llama_correct,question_length,num_choices,agreement,llada_advantage,llama_advantage
10,"Q: Carson kissed Alex gently on the cheek and asked to go to dinner. What will happen to Carson? 
  choice: Go on a date
  choice: Have a romantic meal
  choice: Loved
A:","['Have a romantic meal', 'Go on a date', 'Loved']",Go on a date,"['-4.845100581645966', '0.0']","['-4.0625', 'False']",False,False,170,3,True,False,False
11,"Q: Alex walked Robin towards the execution chamber for her last meal. Why did Alex do this? 
  choice: Release her
  choice: So Robin can eat
  choice: Work at the jail
A:","['Work at the jail', 'So Robin can eat', 'Release her']",Work at the jail,"['-11.116344571113586', '0.0']","['-5.34375', 'False']",False,False,171,3,True,False,False
12,"Q: Carson was excited to wake up to attend school. Why did Carson do this? 
  choice: Go to bed early
  choice: Just say hello to friends
  choice: Take the big test
A:","['Take the big test', 'Just say hello to friends', 'Go to bed early']",Just say hello to friends,"['-4.537884086370468', '0.0']","['-3.65625', 'False']",False,False,168,3,True,False,False
13,"Q: Taylor proved Carson's point about who was the stronger wrestler of them all. What will Taylor want to do next? 
  choice: Be good at wrestling
  choice: Bored
  choice: Good
A:","['Be good at wrestling', 'Bored', 'Good']",Be good at wrestling,"['-1.016704872250557', '0.0']","['-2.140625', 'False']",False,False,180,3,True,False,False
14,"Q: Sydney went trick or treating and the others joined him happily. What will Others want to do next? 
  choice: Did this to get candy
  choice: Get candy
  choice: Go home
A:","['Go home', 'Did this to get candy', 'Get candy']",Get candy,"['-5.826187759637833', '0.0']","['-3.984375', 'False']",False,False,175,3,True,False,False
15,"Q: Sasha set their trash on fire to get rid of it quickly. How would you describe Sasha? 
  choice: Dirty
  choice: Inconsiderate
  choice: Very efficient
A:","['Dirty', 'Very efficient', 'Inconsiderate']",Very efficient,"['-2.71875', '0.0']","['-2.75', 'False']",False,False,157,3,True,False,False
16,"Q: Robin dried up the paper and lit it on fire and it blew away. How would Robin feel afterwards? 
  choice: Excited to see what comes next
  choice: Gone
  choice: Happy their only photo blew away
A:","['Happy their only photo blew away', 'Excited to see what comes next', 'Gone']",Excited to see what comes next,"['-6.191658079624176', '0.0']","['-2.921875', 'False']",False,False,200,3,True,False,False
17,"Q: Skylar went camping with friends and found the best campsite. What does Skylar need to do before this? 
  choice: Get ready to go on a solo trip
  choice: Look at a map of the campground
  choice: Tell her friends she wasn't interested
A:","['Get ready to go on a solo trip', 'Look at a map of the campground', ""Tell her friends she wasn't interested""]",Look at a map of the campground,"['-8.327490091323853', '0.0']","['-2.53125', 'False']",False,False,241,3,True,False,False
18,"Q: Due to his car breaking down, Robin decided to ride with Jan's friends to school. What will Robin want to do next? 
  choice: Arrive on time to school
  choice: Avoid missing class
  choice: Fix his car
A:","['Fix his car', 'Avoid missing class', 'Arrive on time to school']",Fix his car,"['-6.242277771234512', '0.0']","['-3.359375', 'False']",False,False,208,3,True,False,False
19,"Q: Cameron took Kai's compliment seriously after the ballgame ended. How would you describe Cameron? 
  choice: Happy
  choice: Humble and not too proud
  choice: Proud
A:","['Humble and not too proud', 'Proud', 'Happy']",Humble and not too proud,"['-1.7447955459356308', '0.0']","['-2.03125', 'True']",False,False,171,3,True,False,False
20,"Q: Jordan taught art in elementary schools and was really great with his students. How would the parents feel as a result? 
  choice: Concerned that Jordan will leave
  choice: Inspired to make their own art
  choice: The art teacher
A:","['The art teacher', 'Concerned that Jordan will leave', 'Inspired to make their own art']",Concerned that Jordan will leave,"['-5.938947916030884', '0.0']","['-2.984375', 'False']",False,False,236,3,True,False,False
21,"Q: Riley and the others were the best of friends and always supported each other. What will happen to Others? 
  choice: The others will be dejected
  choice: The others will be isolated
  choice: The others will offer support
A:","['The others will be dejected', 'The others will offer support', 'The others will be isolated']",The others will offer support,"['-4.843466706573963', '0.0']","['-1.3828125', 'True']",False,False,229,3,True,False,False
22,"Q: Taylor gave help to a friend who was having trouble keeping up with their bills. What will their friend want to do next? 
  choice: Help the friend find a higher paying job
  choice: Pay some of their late employees
  choice: Thank Taylor for the generosity
A:","['Help the friend find a higher paying job', 'Thank Taylor for the generosity', 'Pay some of their late employees']",Thank Taylor for the generosity,"['-4.148868709802628', '0.0']","['-1.4453125', 'True']",False,False,263,3,True,False,False
23,"Q: Riley had twisted their leg and began to hurt so bad that they could not walk. What does Riley need to do before this? 
  choice: Lie down
  choice: Run
  choice: Sit and relax
A:","['Lie down', 'Run', 'Sit and relax']",Run,"['-1.9530891329050064', '0.0']","['-0.94921875', 'True']",False,False,182,3,True,False,False
24,"Q: Carson was at a friend's house but suddenly announced they needed to go home. Why did Carson do this? 
  choice: Called a cab
  choice: Caught a bus
  choice: Forgot to feed the dog
A:","['Caught a bus', 'Called a cab', 'Forgot to feed the dog']",Forgot to feed the dog,"['-6.673004180192947', '0.0']","['-2.5625', 'False']",False,False,187,3,True,False,False
25,"Q: Taylor taught math in the schools after studying to be a teacher for four years. What does Taylor need to do before this? 
  choice: Get a certificate
  choice: Teach small children
  choice: Work in a school
A:","['Get a certificate', 'Teach small children', 'Work in a school']",Get a certificate,"['-1.149196483194828', '0.0']","['-1.234375', 'True']",False,False,214,3,True,False,False
26,"Q: Tracy led their army and fought hard in the war until they sat upon the throne. How would you describe Tracy? 
  choice: Peasant
  choice: Powerful
  choice: Ruler
A:","['Peasant', 'Ruler', 'Powerful']",Powerful,"['-13.29171109199524', '0.0']","['-2.046875', 'False']",False,False,169,3,True,False,False
27,"Q: Kendall watched baseball with his friends after working hard all week at his job. What will Kendall want to do next? 
  choice: Avoid talking to his friends
  choice: Cheer his team with his friends
  choice: Needed to please her boss
A:","['Avoid talking to his friends', 'Cheer his team with his friends', 'Needed to please her boss']",Cheer his team with his friends,"['-5.353312015533447', '0.0']","['-1.84375', 'False']",False,False,240,3,True,False,False
28,"Q: kai was bored and had nothing to do so he played card games. What will Kai want to do next? 
  choice: Do math homework
  choice: Do nothing
  choice: Watch television
A:","['Do math homework', 'Do nothing', 'Watch television']",Watch television,"['-2.7153670340776443', '0.0']","['-2.328125', 'False']",False,False,173,3,True,False,False
29,"Q: Robin changed Aubrey into clean clothes, so they can both go to the big play. What will Robin want to do next? 
  choice: Entertained
  choice: Find clean clothes to wear
  choice: Wash the dirty laundry
A:","['Wash the dirty laundry', 'Find clean clothes to wear', 'Entertained']",Wash the dirty laundry,"['-10.661089539527893', '0.0']","['-4.84375', 'False']",False,False,209,3,True,False,False
30,"Q: Kendall wrapped string around my neck to measure the collar of a shirt. What will Others want to do next? 
  choice: Buy a shirt
  choice: Buy pants
  choice: Measure other body parts
A:","['Measure other body parts', 'Buy pants', 'Buy a shirt']",Measure other body parts,"['-10.949330270290375', '0.0']","['-4.5625', 'False']",False,False,189,3,True,False,False
31,"Q: Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. How would Kai feel as a result? 
  choice: Betrayed by Aubrey
  choice: Giving to others
  choice: Wanting to help people
A:","['Giving to others', 'Betrayed by Aubrey', 'Wanting to help people']",Betrayed by Aubrey,"['-10.303481459617615', '0.0']","['-3.890625', 'False']",False,False,225,3,True,False,False
32,"Q: jan took them to NYC so that they could experience the city for the first time. What will Others want to do next? 
  choice: Look around
  choice: Look nowhere
  choice: Make sure they get a good first impression of NYC
A:","['Look around', 'Look nowhere', 'Make sure they get a good first impression of NYC']",Look around,"['-4.66606330871582', '0.0']","['-3.09375', 'False']",False,False,225,3,True,False,False
33,"Q: Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. Why did Tracy do this? 
  choice: Prove that they know the truth
  choice: Tracy who has got alot of details wrong
  choice: Tracy who has through watching the history channel
A:","['Tracy who has through watching the history channel', 'Prove that they know the truth', 'Tracy who has got alot of details wrong']",Prove that they know the truth,"['-5.198237597942352', '0.0']","['-4.125', 'False']",False,False,288,3,True,False,False
34,"Q: carson hated lee and his family so he took the risk to injure lee. How would you describe Carson? 
  choice: As mean
  choice: Carson who has hated lee
  choice: To risk injure lee
A:","['Carson who has hated lee', 'As mean', 'To risk injure lee']",As mean,"['-5.04962831735611', '0.0']","['-2.5625', 'False']",False,False,186,3,True,False,False
35,"Q: Robin stayed outside and tried to finish the game of volleyball she was playing. How would Robin feel afterwards? 
  choice: Brave
  choice: Energetic
  choice: Tired
A:","['Energetic', 'Brave', 'Tired']",Tired,"['-1.175941612571478', '0.0']","['-2.5625', 'False']",False,False,172,3,True,False,False
36,"Q: Carson returned to Robin's house after previously storming out during a huge fight. How would Carson feel afterwards? 
  choice: Happy
  choice: Humiliated
  choice: Proud
A:","['Proud', 'Humiliated', 'Happy']",Humiliated,"['-7.5', '0.0']","['-3.4375', 'False']",False,False,177,3,True,False,False
37,"Q: Robin didn't know why she was having bad luck but found the answer. How would Robin feel afterwards? 
  choice: Determined because she discovered the answer
  choice: Scared to do much
  choice: Well
A:","['Well', 'Determined because she discovered the answer', 'Scared to do much']",Determined because she discovered the answer,"['-3.923828125', '0.0']","['-2.203125', 'False']",False,False,205,3,True,False,False
38,"Q: Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. How would Jordan's son feel as a result? 
  choice: Ready to find shoes
  choice: Ready to go home
  choice: Upset and frustrated
A:","['Ready to go home', 'Upset and frustrated', 'Ready to find shoes']",Ready to find shoes,"['-7.2526068687438965', '0.0']","['-2.65625', 'False']",False,False,221,3,True,False,False
39,"Q: ash was cut short even though everyone wanted to hear what ash had to say. What will happen to Others? 
  choice: Be happy
  choice: Enjoy the events
  choice: Protest the events
A:","['Be happy', 'Enjoy the events', 'Protest the events']",Protest the events,"['-3.677642822265625', '0.0']","['-2.78125', 'False']",False,False,184,3,True,False,False
40,"Q: Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. What will happen to Jordan? 
  choice: Guilty
  choice: Lose a bet
  choice: Proud
A:","['Lose a bet', 'Proud', 'Guilty']",Guilty,"['-3.920668214559555', '0.0']","['-3.53125', 'False']",False,False,173,3,True,False,False
41,"Q: jordan wanted to be nice to a girl so he took her to the shoe store. What does Jordan need to do before this? 
  choice: Ask the girl on a date
  choice: Be kind
  choice: Buy the girl some shoes
A:","['Buy the girl some shoes', 'Ask the girl on a date', 'Be kind']",Ask the girl on a date,"['-2.6172583550214767', '0.0']","['-3.0', 'False']",False,False,201,3,True,False,False
42,"Q: Aubrey understood Remy better and met his needs more efficiently as his nurse. How would Remy feel as a result? 
  choice: Anxious as a result
  choice: Desperate as a result
  choice: Hopeful as a result
A:","['Anxious as a result', 'Hopeful as a result', 'Desperate as a result']",Hopeful as a result,"['-5.744121715426445', '0.0']","['-2.40625', 'False']",False,False,210,3,True,False,False
43,"Q: Aubrey kept the baby up at night to watch for a concussion. What will happen to Aubrey? 
  choice: And the baby both fell asleep late in the night
  choice: Gets so sleepy but stays awake anyway
  choice: The baby fell asleep despite Aubrey's best effort
A:","[""The baby fell asleep despite Aubrey's best effort"", 'Gets so sleepy but stays awake anyway', 'And the baby both fell asleep late in the night']",Gets so sleepy but stays awake anyway,"['-5.600107550621033', '0.0']","['-2.90625', 'False']",False,False,260,3,True,False,False
44,"Q: Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. How would Riley feel as a result of this? 
  choice: Like a baby
  choice: Protective of Riley
  choice: Scared of the scene
A:","['Scared of the scene', 'Like a baby', 'Protective of Riley']",Like a baby,"['-4.457813397049904', '0.0']","['-3.375', 'False']",False,False,227,3,True,False,False
45,"Q: Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. What does Quinn need to do before this? 
  choice: Be caring
  choice: Hold the gift in plain sight
  choice: Pick out a gift for Jordan
A:","['Pick out a gift for Jordan', 'Be caring', 'Hold the gift in plain sight']",Pick out a gift for Jordan,"['-3.959600403904915', '0.0']","['-5.46875', 'False']",False,False,236,3,True,False,False
46,"Q: Bailey passed Jesse on his driving examination after he passed with flying colors. What does Bailey need to do before this? 
  choice: Buy a car
  choice: Celebrate
  choice: Test Jesse before this
A:","['Test Jesse before this', 'Buy a car', 'Celebrate']",Test Jesse before this,"['-3.4907614439725876', '0.0']","['-1.3671875', 'True']",False,False,203,3,True,False,False
47,"Q: Austin was taking a test and found it difficult at first. How would you describe Austin? 
  choice: A student
  choice: Overwhelmed
  choice: Stupid
A:","['A student', 'Stupid', 'Overwhelmed']",Overwhelmed,"['-7.055212467908859', '0.0']","['-2.125', 'False']",False,False,154,3,True,False,False
48,"Q: Quinn was playing and froliking in the snow, making snow angels and snowballs. How would you describe Quinn? 
  choice: A big fan of the band
  choice: A big fan of the outdoors
  choice: Lighthearted and lonely
A:","['A big fan of the band', 'Lighthearted and lonely', 'A big fan of the outdoors']",A big fan of the outdoors,"['-11.400560230016708', '0.0']","['-2.890625', 'False']",False,False,217,3,True,False,False
49,"Q: Tracy gave money to my friend who needed it but failed to by it back as they promised. What will happen to Tracy? 
  choice: Be disappointed in them
  choice: Lose trust in my friend
  choice: Yell at them
A:","['Yell at them', 'Be disappointed in them', 'Lose trust in my friend']",Lose trust in my friend,"['-9.156642854213715', '0.0']","['-3.453125', 'False']",False,False,211,3,True,False,False
50,"Q: Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. How would you describe Cameron? 
  choice: A success as a teacher
  choice: Honest
  choice: Vengeful
A:","['Honest', 'A success as a teacher', 'Vengeful']",A success as a teacher,"['-0.626953125', '0.0']","['-2.8125', 'False']",False,False,196,3,True,False,False
51,"Q: Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. What will Skylar want to do next? 
  choice: Run away
  choice: Wait for a reaction
  choice: Wanted to fight with the bully
A:","['Run away', 'Wait for a reaction', 'Wanted to fight with the bully']",Run away,"['-4.336538255214691', '0.0']","['-1.734375', 'True']",False,False,219,3,True,False,False
52,"Q: Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. How would you describe Remy? 
  choice: Cheated
  choice: Feeling bored
  choice: Feeling loved
A:","['Feeling bored', 'Feeling loved', 'Cheated']",Cheated,"['-7.62451171875', '0.0']","['-3.4375', 'False']",False,False,193,3,True,False,False
53,"Q: Skylar was on the phone while at the national park. They lent little attention to the view. What will Skylar want to do next? 
  choice: Build
  choice: Get Skylar off the phone
  choice: Sleep
A:","['Get Skylar off the phone', 'Sleep', 'Build']",Get Skylar off the phone,"['-5.6205934882164', '0.0']","['-1.8046875', 'False']",False,False,199,3,True,False,False
54,"Q: Sydney works as a preschool teacher, and helped trace Robin's fingers. Why did Sydney do this? 
  choice: Make artwork
  choice: Make popcorn
  choice: Teach her class the alphabet
A:","['Make popcorn', 'Teach her class the alphabet', 'Make artwork']",Make artwork,"['-6.292438507080078', '0.0']","['-5.9375', 'False']",False,False,186,3,True,False,False
55,"Q: Jan was pregnant and she gave birth to a beautiful baby daughter. How would you describe Jan? 
  choice: A mother
  choice: Exhausted
  choice: Ready to take a spin class
A:","['A mother', 'Exhausted', 'Ready to take a spin class']",A mother,"['-2.1340392231941223', '0.0']","['-1.234375', 'True']",False,False,176,3,True,False,False
56,"Q: Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. What will Kendall want to do next? 
  choice: Gather jars
  choice: Watered a few of her pets
  choice: Watered a few of the plants
A:","['Watered a few of the plants', 'Gather jars', 'Watered a few of her pets']",Watered a few of the plants,"['-5.98504376411438', '0.0']","['-3.109375', 'False']",False,False,243,3,True,False,False
57,"Q: Knowing skylar would want to go too, Kendall took Skylar into account. Why did Kendall do this? 
  choice: Get this over with
  choice: Help skylar
  choice: Kendall who has want to skylar
A:","['Kendall who has want to skylar', 'Get this over with', 'Help skylar']",Help skylar,"['-12.107106149196625', '0.0']","['-3.5', 'False']",False,False,194,3,True,False,False
58,"Q: Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. What will Casey want to do next? 
  choice: Keep construction workers safe
  choice: Make an excuse
  choice: Speed off
A:","['Keep construction workers safe', 'Speed off', 'Make an excuse']",Make an excuse,"['-2.1092276871204376', '0.0']","['-1.7109375', 'False']",False,False,213,3,True,False,False
59,"Q: Riley granted Jan the highest title of the kingdom and celebrated with a feast. What will Jan want to do next? 
  choice: Celebrate all night with the kingdom
  choice: Indifferent
  choice: Proud
A:","['Celebrate all night with the kingdom', 'Proud', 'Indifferent']",Celebrate all night with the kingdom,"['-0.6920067314058542', '0.0']","['-1.2421875', 'True']",False,False,202,3,True,False,False
60,"Q: After being kicked out of the house by his parents, Jordan needed a place to live. How would you describe Jordan? 
  choice: Extremely hardworking
  choice: Quite lazy
  choice: Sad
A:","['Quite lazy', 'Sad', 'Extremely hardworking']",Sad,"['-4.632814168930054', '0.0']","['-2.984375', 'False']",False,False,187,3,True,False,False
61,"Q: Remy gave birth to a baby girl on a Saturday afternoon. What does Remy need to do before this? 
  choice: Did this to start a family
  choice: Go to the hospital
  choice: Leave her husband
A:","['Leave her husband', 'Did this to start a family', 'Go to the hospital']",Go to the hospital,"['-10.365433931350708', '0.0']","['-3.890625', 'False']",False,False,195,3,True,False,False
62,"Q: Alex was no longer raising Sasha but she did give birth to Sasha. What will Alex want to do next? 
  choice: Ask to visit Sasha
  choice: Build a relationship with Sasha
  choice: Kidnap Sasha from home
A:","['Build a relationship with Sasha', 'Ask to visit Sasha', 'Kidnap Sasha from home']",Ask to visit Sasha,"['-5.056427955627441', '0.0']","['-3.59375', 'False']",False,False,208,3,True,False,False
63,"Q: Jordan gave Robin advice about a job interview as Jordan already worked at the company and knew the questions that would be asked at teh interview stage. How would Robin feel afterwards? 
  choice: Be prepared
  choice: Disgusted
  choice: Supported
A:","['Disgusted', 'Be prepared', 'Supported']",Supported,"['-11.556435227394104', '0.0']","['-2.78125', 'False']",False,False,255,3,True,False,False
64,"Q: Cameron went out of her way to buy food for the homeless. How would Cameron feel afterwards? 
  choice: Happy
  choice: Mad
  choice: Upset
A:","['Mad', 'Upset', 'Happy']",Happy,"['-11.5625', '0.0']","['-3.53125', 'False']",False,False,145,3,True,False,False
65,"Q: Sydney played Kendall's heart when she pretended to be interested in him at the party. What will happen to Kendall? 
  choice: Be angry at Sydney
  choice: Be excited
  choice: Date Sydney
A:","['Be angry at Sydney', 'Be excited', 'Date Sydney']",Be angry at Sydney,"['-2.0576104894280434', '0.0']","['-2.1875', 'False']",False,False,194,3,True,False,False
66,"Q: Cameron's parents told them to do well at school or they would be grounded.  Cameron took their words seriously. What will happen to Cameron? 
  choice: Have his assignments done by their classmates
  choice: Listen or face severe punishment
  choice: Study very hard
A:","['Listen or face severe punishment', 'Study very hard', 'Have his assignments done by their classmates']",Study very hard,"['-1.3992828875780106', '0.0']","['-1.8671875', 'False']",False,False,273,3,True,False,False
67,"Q: Jan took me to NYC to celebrate my birthday before the baby was born. What will Others want to do after? 
  choice: Get a flight to NYC
  choice: Leave me in NYC
  choice: Wish me a happy birthday
A:","['Leave me in NYC', 'Wish me a happy birthday', 'Get a flight to NYC']",Wish me a happy birthday,"['-3.6143319606781006', '0.0']","['-3.6875', 'False']",False,False,202,3,True,False,False
68,"Q: It was a pretty sunny day outside. Quinn walked instead. What does Quinn need to do before this? 
  choice: Have fun
  choice: Move their feet
  choice: Notice the sun
A:","['Have fun', 'Notice the sun', 'Move their feet']",Move their feet,"['-7.187755882740021', '0.0']","['-3.90625', 'False']",False,False,173,3,True,False,False
69,"Q: Kai was grounded after wrecking his mother's car so he handed back the keys. What will Kai want to do next? 
  choice: Rent out the car
  choice: Wanted to stay out of trouble
  choice: Work hard at home
A:","['Wanted to stay out of trouble', 'Work hard at home', 'Rent out the car']",Wanted to stay out of trouble,"['-2.4501713663339615', '0.0']","['-3.1875', 'False']",False,False,209,3,True,False,False
70,"Q: Jordan got his leg bitten off by a shark while he was surfing. Jordan made light of the handicap. Why did Jordan do this? 
  choice: Needed to have a surf board
  choice: Not show others he was suffering
  choice: Show that he only needed one leg
A:","['Show that he only needed one leg', 'Needed to have a surf board', 'Not show others he was suffering']",Not show others he was suffering,"['-2.7758997827768326', '0.0']","['-2.1875', 'False']",False,False,252,3,True,False,False
71,"Q: Kendall knew that Skylar has a difficult work schedule and needed to accomodate that when planning the vacation. How would Skylar feel as a result? 
  choice: Excited about work
  choice: Grateful to Kendall
  choice: That they are looking forward to their vacation
A:","['Grateful to Kendall', 'Excited about work', 'That they are looking forward to their vacation']",Grateful to Kendall,"['-1.9241637960076332', '0.0']","['-4.25', 'False']",False,False,271,3,True,False,False
72,"Q: But she didn't want to be on the team so walked off the court. Why did Aubrey do this? 
  choice: Being on the team was her big dream
  choice: Wanted to spend more time at home
  choice: Wanted to win the championship
A:","['Wanted to spend more time at home', 'Wanted to win the championship', 'Being on the team was her big dream']",Wanted to spend more time at home,"['-2.913387954235077', '0.0']","['-4.53125', 'False']",False,False,224,3,True,False,False
73,"Q: Carson was at a friend's house across town from where he lived playing video games. How would Carson feel afterwards? 
  choice: Ready to go for a short stroll back to his home
  choice: Sad that he will have to stop playing video games
  choice: Too dark outside
A:","['Sad that he will have to stop playing video games', 'Too dark outside', 'Ready to go for a short stroll back to his home']",Sad that he will have to stop playing video games,"['-8.474580198526382', '0.0']","['-2.78125', 'False']",False,False,269,3,True,False,False
74,"Q: Kendall took their dog to the new dog park in the neighborhood. What will Kendall want to do next? 
  choice: Give it a bath
  choice: Meet other dog owners
  choice: Walk their dog
A:","['Give it a bath', 'Walk their dog', 'Meet other dog owners']",Meet other dog owners,"['-11.230851948261261', '0.0']","['-1.9609375', 'True']",False,False,187,3,True,False,False
75,"Q: Robin's brother was hungry, too, so Robin cut the sandwich in half. How would Robin feel afterwards? 
  choice: Accommodating
  choice: Friendly
  choice: Hungry
A:","['Accommodating', 'Hungry', 'Friendly']",Accommodating,"['-0.344298604875803', '0.0']","['-1.21875', 'False']",False,False,167,3,True,False,False
76,"Q: Addison regarded every girl as somebody who should be treated by their actions. How would Others feel as a result? 
  choice: Bored now
  choice: Loved now
  choice: Passive now
A:","['Bored now', 'Loved now', 'Passive now']",Loved now,"['-3.414411887526512', '0.0']","['-1.78125', 'True']",False,False,183,3,True,False,False
77,"Q: Remy challenged them to a game and then beat them so much. How would they feel as a result? 
  choice: Happy
  choice: Proud
  choice: Weak
A:","['Weak', 'Proud', 'Happy']",Weak,"['-12.5625', '0.0']","['-4.1875', 'False']",False,False,145,3,True,False,False
78,"Q: Casey gave some money to Jesse so she could go to the movie. How would you describe Casey? 
  choice: Giving
  choice: Greedy
  choice: Thankful
A:","['Thankful', 'Greedy', 'Giving']",Giving,"['-9.602679371833801', '0.0']","['-4.53125', 'False']",False,False,150,3,True,False,False
79,"Q: Lee gave birth to ten babies over a span of ten years. How would you describe Lee? 
  choice: Barren
  choice: Caring
  choice: Would love her children
A:","['Barren', 'Caring', 'Would love her children']",Would love her children,"['-1.6670257672667503', '0.0']","['-1.2578125', 'True']",False,False,157,3,True,False,False
80,"Q: Cameron wore some very heavy clothes even thought it was hot outside and he would sweat heavily outside. How would Others feel as a result? 
  choice: Awkward
  choice: Hungry
  choice: Thinks differently
A:","['Thinks differently', 'Awkward', 'Hungry']",Awkward,"['-6.515377968549728', '0.0']","['-3.734375', 'False']",False,False,210,3,True,False,False
81,"Q: Remy understood every mystery because she was a famous mystery writer. What will Others want to do after? 
  choice: Ask Remy more
  choice: Be a mystery writer
  choice: Destroy Remy's books
A:","['Ask Remy more', ""Destroy Remy's books"", 'Be a mystery writer']",Ask Remy more,"['-1.0741259902715683', '0.0']","['-2.796875', 'False']",False,False,197,3,True,False,False
82,"Q: Kendall persisted after being told no, and eventually had a positive effect on Lee. What will Lee want to do next? 
  choice: Give a punch to Kendall's face
  choice: Give into Kendall
  choice: Refuse to help Kendall
A:","['Give into Kendall', ""Give a punch to Kendall's face"", 'Refuse to help Kendall']",Give into Kendall,"['-0.872706588357687', '0.0']","['-4.25', 'False']",False,False,223,3,True,False,False
83,"Q: Alex worshiped Jesus in their way even though everyone said it was the wrong way to do it. What will Alex want to do next? 
  choice: Ale who has worshiped jesus
  choice: Be discouraged by others
  choice: Not listen to others
A:","['Ale who has worshiped jesus', 'Be discouraged by others', 'Not listen to others']",Not listen to others,"['-0.9098064936697483', '0.0']","['-2.78125', 'False']",False,False,233,3,True,False,False
