doc_id,premise,hypothesis,true_label,llada_prediction,llama_prediction,llada_correct,llama_correct,llada_margin,llama_margin,llada_confidence,llama_confidence,premise_length,hypothesis_length,agreement,llada_advantage,llama_advantage
237,it would probably be a lot more work and probably not turn out as good,"Oh that way sounds great, it could turn out even better",contradiction,contradiction,entailment,True,False,0.625,-1.31640625,0.625,1.31640625,70,55,False,True,False
240,"During the half-century of its existence, Israel has absorbed approximately 2.5 million Jewish immigrants, displaced persons, refugees, and survivors of the Nazi Holocaust.",Israel shunned the Jewish people from entering to escape the Nazi Holocaust.,contradiction,contradiction,entailment,True,False,1.3125,0.0,1.3125,0.0,172,76,False,True,False
253,uh-huh well maybe well i've enjoyed talking to you okay bye-bye,I hated talking to you.,contradiction,contradiction,entailment,True,False,0.625,0.0,0.625,0.0,63,23,False,True,False
266,That is well. ,That is unwell.,contradiction,contradiction,entailment,True,False,0.5,-0.0625,0.5,0.0625,14,15,False,True,False
271,Why blame her because she had been true to her creed? ,She was not faithful to her own belief system.,contradiction,contradiction,entailment,True,False,0.25,-0.12109375,0.25,0.12109375,54,46,False,True,False
272,"Oh, my friend, have I not said to you all along that I have no proofs. ",I've always had the proof that he did it.,contradiction,contradiction,entailment,True,False,0.75,-0.3203125,0.75,0.3203125,71,41,False,True,False
273,Companies that were foreign had to accept Indian financial participation and management.,Foreign companies had to take Italian money.,contradiction,contradiction,entailment,True,False,0.453125,-0.25390625,0.453125,0.25390625,88,44,False,True,False
285,"Most pundits side with bushy-headed George Stephanopoulos ( This Week ), arguing that only air strikes would be politically palatable.",Mr. Stephanopoulos has a very large pundit following due to his stance on air strikes only being politically palatable.,entailment,entailment,contradiction,True,False,0.375,-0.25,0.375,0.25,134,119,False,True,False
287,"The stuff was strong, but somewhat brittle.",It was incredibly strong and not brittle at all.,contradiction,contradiction,entailment,True,False,0.25,-0.875,0.25,0.875,43,48,False,True,False
297,well i think of uh you mean as far as retirement,You never discuss retirement.,contradiction,contradiction,entailment,True,False,0.625,-0.25,0.625,0.25,48,29,False,True,False
298,"If you have any questions about this report, please contact Henry R. Wray, Senior Associate General Counsel, at (202) 512-8581.",Henry R. Wray can be reached at (555) 512-8581.,contradiction,contradiction,entailment,True,False,0.625,-0.87109375,0.625,0.87109375,127,47,False,True,False
300,"Given the limits on the WTO's jurisdiction, it was probably unreasonable of Kodak to expect a real victory.",Kodak was totally justified in expecting a victory.,contradiction,contradiction,neutral,True,False,0.6171875,-0.12890625,0.6171875,0.12890625,107,51,False,True,False
309,"7) Nonautomated First-Class and Standard-A mailers have the option of requesting that their mail be processed manually, even though the costs for such processing are substantially higher than mechanized processing.",Nonautomated First-Class and Standard-A mailers cannot ask for their mail to be processed by hand because it costs the postal service more.,contradiction,contradiction,neutral,True,False,0.875,0.0,0.875,0.0,214,139,False,True,False
311,um-hum yeah right uh is yours a is it a a slab foundation or pier and beam,Your foundation is being beamed away.,contradiction,contradiction,entailment,True,False,0.375,-0.5625,0.375,0.5625,74,37,False,True,False
320,"Crosethe Rue de Rivoli to the Palais-Royal, built for Car?­di?­nal Richelieu as his Paris residence in 1639, and originally named Palais-Cardinal.",Crosethe Rue De Rivoli to the Palais-Royal was built for King Louis XVI.,contradiction,contradiction,entailment,True,False,1.4453125,0.0,1.4453125,0.0,146,72,False,True,False
321," There was food for all, and houses had been conjured hastily to shelter the people.",There was not enough food for all sadly.,contradiction,contradiction,entailment,True,False,0.25,-0.125,0.25,0.125,84,40,False,True,False
326,"And, could it not result in a decline in Postal Service volumes across--the--board?",Nothing will affect Postal Service volumes across--the--board.,contradiction,contradiction,neutral,True,False,1.7421875,0.0,1.7421875,0.0,83,62,False,True,False
337,The two programs are currently housed in buildings about a block apart.,The two buildings are on opposite sides of the city.,contradiction,contradiction,entailment,True,False,0.0625,-0.25,0.0625,0.25,71,52,False,True,False
338,"The results of the sheepshead minnow, Cyprinodon variegatus, inland silverside, Menidia beryllina, or mysid, Mysidopsis bahia, tests are acceptable if survival in the controls is 80 percent or greater.",Tests are only acceptable when survival rates during controls come to at least 70 percent.,contradiction,contradiction,entailment,True,False,1.125,0.0,1.125,0.0,201,90,False,True,False
339,Now suppose there is a private delivery firm in Cleveland that is competing with the postal service.,Imagine a state-run delivery firm trying to phase out the postal service.,contradiction,contradiction,entailment,True,False,0.5625,0.0,0.5625,0.0,100,73,False,True,False
343,no no not at all it,Not all of it,entailment,entailment,contradiction,True,False,0.375,-0.25,0.375,0.25,19,13,False,True,False
348,It was still night.,"The sun was blazing in the sky, darkness nowhere to be seen.",contradiction,contradiction,entailment,True,False,0.125,-0.12109375,0.125,0.12109375,19,60,False,True,False
355,"The long-sought, the mysterious, the elusive Jane Finn! ",Jane Finn is easily found but not often looked for.,contradiction,contradiction,entailment,True,False,0.625,-0.25,0.625,0.25,56,51,False,True,False
357,"It's easy to overdose on the many temples, palaces, and museums in India.",You'll find a scarcity of palaces and temples across India.,contradiction,contradiction,entailment,True,False,1.25,0.0,1.25,0.0,73,59,False,True,False
358,uh i really i miss college i had a good time,College was horrible and I hated it. ,contradiction,contradiction,entailment,True,False,0.5078125,-0.125,0.5078125,0.125,44,37,False,True,False
362,"True to his word to his faithful mare, Ca'daan left Whitebelly in Fena Dim and borrowed Gray Cloud from his uncle.",Ca'daan kept his word to Gray Cloud and borrowed Whitebelly from his uncle. ,contradiction,contradiction,entailment,True,False,0.25,-1.498046875,0.25,1.498046875,114,76,False,True,False
380,"She gave the girl clothes and gifts and took her to her Connecticut estate for weekend pony rides, according to the Star . How was I supposed to compete with that?","She gave the boy clothes, gifts and pony rides. That's hard to compete with.",contradiction,contradiction,entailment,True,False,0.625,-0.75,0.625,0.75,163,76,False,True,False
384,One opportunist who stayed was Octavius Decatur Gass.,Octavius Decatur Gass refers to four people. ,contradiction,contradiction,entailment,True,False,0.25,-0.875,0.25,0.875,53,45,False,True,False
390,and they're more independent and there's things to do then it's good for them to go to different i mean it he goes to a a mother's day out program now once a week both of my kids do,Independence does not grant anymore options for them.,contradiction,contradiction,entailment,True,False,0.5,-0.125,0.5,0.125,181,53,False,True,False
413,"To the northwest of the chateau, the Grand Trianon palace, surrounded by pleasantly unpompous gardens, was the home of Louis XIV's mistress, Madame de Maintenon, where the aging king increasingly took refuge.",Grand Trianon palace was the residence of Louis XIV.,contradiction,contradiction,entailment,True,False,0.125,-0.625,0.125,0.625,208,52,False,True,False
414,"You're crazed, Beresford.","You are a sane genius, Beresford.",contradiction,contradiction,entailment,True,False,0.375,-0.4375,0.375,0.4375,25,33,False,True,False
415,so are can i just ask you are you Canadian,Are you from the U.S.?,contradiction,contradiction,entailment,True,False,0.625,-0.375,0.625,0.375,42,22,False,True,False
416,"In the meantime, the philosophy is to seize present-day opportunities in the thriving economy.",The philosophy was to seize opportunities when the economy is doing poorly.,contradiction,contradiction,entailment,True,False,0.375,0.0,0.375,0.0,94,75,False,True,False
424,The purpose of the Diwan-i-Khas is hotly disputed; it is not necessarily the hall of private audience that its name implies.,The name suggest that it is open to the public.,contradiction,contradiction,entailment,True,False,0.5,0.0,0.5,0.0,124,47,False,True,False
430,"Behind the cathedral, croseover the Rue de la R??publique to the 15th-century Eglise Saint-Maclou, the richest example of Flam?­boy?­ant Gothic in the country.",The Eglise Saint-Michel was built in the 8th century.,contradiction,contradiction,entailment,True,False,0.6875,-0.375,0.6875,0.375,159,53,False,True,False
436,and these poor guys out there uh trying to uphold the law um i don't know i kind of think they should bring back capital punishment,I think that capital punishment should remain illegal.,contradiction,contradiction,entailment,True,False,0.75,-0.25,0.75,0.25,131,54,False,True,False
438,"When asked about the Bible's literal account of creation, as opposed to the attractive concept of divine creation, every major Republican presidential candidate--even Bauer--has squirmed, ducked, and tried to steer the discussion back to faith, morals, and the general idea that humans were created in the image of God.",Every republican presidential candidate answered the question of creation openly.,contradiction,contradiction,entailment,True,False,1.4375,-0.375,1.4375,0.375,319,81,False,True,False
440,"(Never mind the strictest reading, which supposes that creation took a week.)","The creation apparently took a week, supposes the reading.",entailment,entailment,contradiction,True,False,0.875,-0.25,0.875,0.25,77,58,False,True,False
449,and you know if i know that they're gonna be there you know you you i try to really watch it and like you say you know really dress up and if i know they're not you know i i've been doing a lot of reorganization you know the last couple of months the same way you are you know and it's just so it's just impossible to crawl down on the floor and dig through boxes in a dress you know it is so,I never try to watch it.,contradiction,contradiction,entailment,True,False,0.625,-0.5,0.625,0.5,392,24,False,True,False
452,"I don't know all the answers, fella.",I know everything there is to know about it.,contradiction,contradiction,neutral,True,False,0.4921875,-0.6328125,0.4921875,0.6328125,36,44,False,True,False
458,"I'm not sentimental, you know."" She paused.",She claimed not to be sentimental. ,entailment,entailment,neutral,True,False,0.625,-0.0625,0.625,0.0625,43,35,False,True,False
460,yeah exactly right it really is because they're gonna get them one way or another they will always have a way look at drugs they always have a way to get that so,"They will never get drugs, because the government passed a bill that prohobits all of them.",contradiction,contradiction,entailment,True,False,2.0,0.0,2.0,0.0,161,91,False,True,False
461,ooh it's kind of tough to think of some of the others although i do watch some of some of those frivolous things uh like on Thursday nights at nine o'clock when i get home from aerobics i will watch uh Knots Landing,I've never been to an aerobics class before.,contradiction,contradiction,entailment,True,False,0.5,-0.25,0.5,0.25,215,44,False,True,False
464,"If you need to use the mail, it would be helpful if you sent your comments both in writing and on diskette (in Word or ASCII format).","We don't need more than one copy of your comments, either a diskette or writing will do.",contradiction,contradiction,entailment,True,False,0.75,-0.375,0.75,0.375,133,88,False,True,False
481,How do you propose to get in touch with your would-be employers?,How will you destroy your potential employers' gardens?,contradiction,contradiction,entailment,True,False,0.875,-0.8125,0.875,0.8125,64,55,False,True,False
487,NONFEDERAL PHYSICAL PROPERTY ANNUAL STEWARDSHIP INFORMATION For the Fiscal Year Ended September,The report details federal physical property,contradiction,contradiction,entailment,True,False,0.2578125,-0.37890625,0.2578125,0.37890625,95,44,False,True,False
492,This points to a final press-friendly quality of McCain' brilliant flattery.,This does not lead to a final press-friendly quality of McCain' brilliant flattery.,contradiction,contradiction,entailment,True,False,0.625,-0.25,0.625,0.25,76,83,False,True,False
500,is there still that type of music available,I could care less if the music still existed.,contradiction,contradiction,entailment,True,False,0.25,-0.9375,0.25,0.9375,43,45,False,True,False
509,"The almost midtown Massabielle quarter (faubourg de Massabielle), is sometimes described as the most picturesque in the city.",The most picturesque part of the city is in the south.,contradiction,contradiction,entailment,True,False,0.125,-0.12890625,0.125,0.12890625,125,54,False,True,False
520,"Several pro-life Dems are mounting serious campaigns at the state level, often against pro-choice Republicans.",Silly campaigns are being invented by dumb democrats.,contradiction,contradiction,entailment,True,False,0.3671875,-0.5,0.3671875,0.5,110,53,False,True,False
529,"Anyway, thank you very much for trying to help us.",Thanks for all your help.,entailment,entailment,neutral,True,False,0.4375,-0.0625,0.4375,0.0625,50,25,False,True,False
535,"The Vice President and his representatives have asserted that GAO lacks the statutory authority to examine the activities of the NEPDG, recognizing only GAOas authority to audit its financial transactions.",The Vice President has sacked a few representatives. ,contradiction,contradiction,entailment,True,False,0.4375,-0.5,0.4375,0.5,205,53,False,True,False
538,ENVIRONMENTAL PROTECTION AGENCY,Agency which is responsible for the destruction of the environment.,contradiction,contradiction,entailment,True,False,0.6875,-0.24609375,0.6875,0.24609375,31,67,False,True,False
542,With him was the evil-looking Number 14.,Number 14 looked very innocent.,contradiction,contradiction,entailment,True,False,0.875,-0.25,0.875,0.25,40,31,False,True,False
550,"It also describes the results of the scenario analysis, both in terms of the various marginal costs associated with emission control strategies and the economy-wide impact of each scenario.",It includes no description of what impacts or price will be exacted by emission control strategies.,contradiction,contradiction,neutral,True,False,0.75,0.0,0.75,0.0,189,99,False,True,False
552,yeah well my uh my uh probably one of the biggest decisions i think that was very strengthened for our family was rather than have one child make that decision,The decision made no effect on our family.,contradiction,contradiction,entailment,True,False,0.8828125,-0.125,0.8828125,0.125,159,42,False,True,False
555,Poirot remained lost in thought for a few minutes. ,Poirot didn't think.,contradiction,contradiction,entailment,True,False,0.75,-0.125,0.75,0.125,51,20,False,True,False
560,oh wow no i just started about well five years ago i think,It started last year.,contradiction,contradiction,entailment,True,False,0.125,-0.5625,0.125,0.5625,58,21,False,True,False
577,Boca da Corrida Encumeada (moderate; 5 hours): views of Curral das Freiras and the valley of Ribeiro do Poco.,This chapter is in the advance category.,contradiction,contradiction,entailment,True,False,0.5,-0.37890625,0.5,0.37890625,109,40,False,True,False
590,"The Fray's reputation as a home for hostile, rude, and mean-spirited exchanges suffered a severe beating at the hands of the Reading thread, which was so civilized that participants suggested taking insulin shots afterward.","The Fray is known as a hostile, rude, and mean place.",entailment,entailment,contradiction,True,False,0.75,-2.4296875,0.75,2.4296875,223,53,False,True,False
593,"Just like we have hairpins and powder-puffs."" Tommy handed over a rather shabby green notebook, and Tuppence began writing busily.",Tommy handed Tuppence a red notebook.,contradiction,contradiction,entailment,True,False,0.125,0.0,0.125,0.0,130,37,False,True,False
595,"If they have overestimated how far the CPI is off, Boskin and his commission may institutionalize an underestimated CPI--guaranteeing a yearly, stealth tax increase.",It is possible that they have overestimated how far the CPI is off. ,entailment,entailment,contradiction,True,False,0.875,-0.375,0.875,0.375,165,68,False,True,False
596,and the NIT semifinals are on tonight,The NIT semifinals are held early in the morning on September 1.,contradiction,contradiction,entailment,True,False,0.125,0.0,0.125,0.0,37,64,False,True,False
598,The new rights are nice enough,The latest privileges are adequate  ,entailment,entailment,contradiction,True,False,0.5625,-0.25,0.5625,0.25,30,36,False,True,False
603,"Beatrice and Grace made out OK legally, but some of us will never use their products again without thinking about Travolta losing his shirt in the name of those wasted-away little kids.",Beatrice and Grace ended up in prison at the end.,contradiction,contradiction,entailment,True,False,0.25,-0.875,0.25,0.875,185,49,False,True,False
614,"The Saving Mystery, or Where Did the Money Go?",There is no mystery about spending.,contradiction,contradiction,entailment,True,False,0.375,-0.25,0.375,0.25,46,35,False,True,False
617,"At the eastern end of Back Lane and turning right, Nicholas Street becomes Patrick Street, and in St. Patrick's Close is St. Patrick's Cathedral .",Nicholas Street becomes Patrick Street after turning left at the eastern end of Back Lane.,contradiction,contradiction,entailment,True,False,0.0625,-0.62109375,0.0625,0.62109375,146,90,False,True,False
618,"Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.",Less than a million people celebrated mass during Pope John Paul II's visit in 1979.,contradiction,contradiction,entailment,True,False,0.125,-0.37109375,0.125,0.37109375,148,84,False,True,False
620,GAO's Web site (www.gao.gov) contains abstracts and full-text files ofcurrent reports and testimony and an expanding archive of older products.,The GAO has received many complaints due to lack of a website. ,contradiction,contradiction,entailment,True,False,0.5625,-0.25,0.5625,0.25,143,63,False,True,False
623,"What you say about Lawrence is a great surprise to me, I said. ",I knew that about Lawrence all along.,contradiction,contradiction,entailment,True,False,0.25,-0.9921875,0.25,0.9921875,63,37,False,True,False
648,This popular show spawned the aquatic show at the Bellagio.,This popular show is unrelated to the origins of Bellogio's water display.,contradiction,contradiction,entailment,True,False,0.625,-0.25,0.625,0.25,59,74,False,True,False
654,Savonarola burned in Florence,Florence became Savonarola's new home.,contradiction,contradiction,entailment,True,False,0.125,-1.125,0.125,1.125,29,38,False,True,False
655,We need your help with another new feature that starts next week.,We are able to work with the new feature on our own.,contradiction,contradiction,neutral,True,False,0.3125,0.0,0.3125,0.0,65,52,False,True,False
672,What seems to be a special bargain price for just  one week only  could turn out to be a year-round con.,Store owners are always honest.,contradiction,contradiction,neutral,True,False,0.5,-0.25,0.5,0.25,104,31,False,True,False
675,She would be almost certainly sent to you under an assumed one.,The man told the other man that Bill would be sent to him.,contradiction,contradiction,entailment,True,False,0.125,-0.62890625,0.125,0.62890625,63,58,False,True,False
699,"5) The Democrats are reaping what they sowed (after torturing Robert Bork, John Tower, and Clarence Thomas).",Democrats rarely have any political relevance.,contradiction,contradiction,entailment,True,False,0.125,-0.375,0.125,0.375,108,46,False,True,False
705,"You claimed to be a repairman for such devices.""  Hanson bent to study it again, using a diamond lens one of the warlocks handed him.","Hanson took it and threw it aside, knowing it was useless.",contradiction,contradiction,entailment,True,False,0.25,-0.5,0.25,0.5,133,58,False,True,False
707,The Government does not sacrifice anything of value in exchange and the entity that forfeits the property does not receive anything of value.,The entity will receive appropriate compensation for forfeited property.,contradiction,contradiction,neutral,True,False,0.5,-0.12890625,0.5,0.12890625,141,72,False,True,False
711,"Ickes apparently made calls to donors from his government office, but there is no evidence so far that anyone else solicited funds in a federal building.",There is evidence that many people solicited funds from a federal building.,contradiction,contradiction,entailment,True,False,1.0,-1.5,1.0,1.5,153,75,False,True,False
712,(Read Slate 's  on how Bush flaunts the courage of his cliches.,Slate talks about how Bush is ashamed of his cliches.,contradiction,contradiction,entailment,True,False,0.125,-0.25,0.125,0.25,63,53,False,True,False
732,"(A bigger contribution may or may not mean, I really, really support Candidate X.) Freedom of association is an even bigger stretch--one that Justice Thomas would laugh out of court if some liberal proposed it.",A bigger contribution means to support candidate Y.,contradiction,contradiction,entailment,True,False,0.5,-0.125,0.5,0.125,210,51,False,True,False
733,no no not at all it,All of them,contradiction,contradiction,entailment,True,False,0.125,-0.6953125,0.125,0.6953125,19,11,False,True,False
735,The red moon made her skin glow.,Her skin was falling off because of the red moon.,contradiction,contradiction,entailment,True,False,0.5625,0.0,0.5625,0.0,32,49,False,True,False
737,but there's no uh inscriptions or or dates or anything else,"The date is right there, it says May 9th.",contradiction,contradiction,entailment,True,False,0.5,-0.7421875,0.5,0.7421875,59,41,False,True,False
739,um-hum you mean when the reporter sticks the the microphone in the person says the face and says how do you feel that you house has burned to the ground,Like when the reporter doorsteps a person on their way out the door.,contradiction,contradiction,entailment,True,False,0.25,-0.5,0.25,0.5,152,68,False,True,False
743,cook and then the next time it would be my turn and i'd try to outdo him and then he'd try to outdo me and  we we was really a lot of fun and,"I would cook and he never would, it always turned out to be a chore. ",contradiction,contradiction,entailment,True,False,0.125,-0.12890625,0.125,0.12890625,141,69,False,True,False
750,because i don't want to my mother was also a domineering type of personality because she had to take over the things that my dad fell short in,My mother made me take over the things that my dad fell short it.,contradiction,contradiction,entailment,True,False,0.25,-1.25,0.25,1.25,142,65,False,True,False
758,"'  Blankley replies, And there are fund-raisers going out in other parts of the country to raise  'The conservatives are coming, the conservatives are coming.","Blankley replies, there are no fundraisers in other parts of the country to raise ""the conservatives are coming"".",contradiction,contradiction,entailment,True,False,0.4921875,0.0,0.4921875,0.0,158,113,False,True,False
759,"Tax records show Waters earned around $65,000 in 2000.",Waters' tax records show he earned a blue ribbon last year.,contradiction,contradiction,entailment,True,False,0.625,-0.25,0.625,0.25,54,59,False,True,False
777,"Look here, you've no business to come asking for me in this way.",You have every right to be asking for me this way.,contradiction,contradiction,entailment,True,False,0.375,-0.5,0.375,0.5,64,50,False,True,False
778,um-hum what is your worst then,What is your best? ,contradiction,contradiction,entailment,True,False,0.25,-1.3203125,0.25,1.3203125,30,19,False,True,False
785,"For himself he chose Atat??rk, or Father of the Turks.",For himself he chose Piety.,contradiction,contradiction,entailment,True,False,0.625,0.0,0.625,0.0,54,27,False,True,False
794,yeah those yeah it was all bloodless and the good guys can get hit all day long and they have to shake it off they don't they don't you know get  epileptic fits or anything from getting hit on the head,That was the goriest most true to life thing I've ever seen and I think that's gonna psychologically affect me for a long time.,contradiction,contradiction,entailment,True,False,0.375,-0.6171875,0.375,0.6171875,201,127,False,True,False
795,"Favored by the Ancient Egyptians as a source of turquoise, the Sinai was, until recently, famed for only one event but certainly an important one.",The Sinai was a source of gold for the Ancient Egyptians.  ,contradiction,contradiction,entailment,True,False,0.5625,0.0,0.5625,0.0,146,59,False,True,False
798,"Look for these items in the picturesque open-air market of Sa Penya (Ibiza Town) or for a wider selection at the bustling, covered central market in the newer part of town (carrer d'Extremadura).",You can't find anything at the open-air market.,contradiction,contradiction,entailment,True,False,1.50390625,0.0,1.50390625,0.0,195,47,False,True,False
825,but uh TV is something that we try to not um deliberately try not to get hung up on it like you say,We are very obsessed with watching TV programs.,contradiction,contradiction,neutral,True,False,0.1328125,-0.5625,0.1328125,0.5625,99,47,False,True,False
831,it may be arrogant but i mean let them come to us,It is definitely not arrogant to have them coming to us,contradiction,contradiction,entailment,True,False,0.5,-0.375,0.5,0.375,49,55,False,True,False
842,"That couldn't happen in a sane world, either.",That could definitely happen in a sane world.,contradiction,contradiction,entailment,True,False,0.171875,-0.5,0.171875,0.5,45,45,False,True,False
844,It was worth the trip for that.,It wasn't worth anything.,contradiction,contradiction,entailment,True,False,0.25,-0.375,0.25,0.375,31,25,False,True,False
862,"The only comprehensible explanation is that the vocation that had burrowed in next to medicine had taken control, had insisted.",The only explanation is that nothing has taken control of medicine. ,contradiction,contradiction,neutral,True,False,0.375,-0.25,0.375,0.25,127,68,False,True,False
874,I was deeply impressed by the power and eloquence of the counsel for the defence.,The counsel for his defence did not impress me in any way.,contradiction,contradiction,entailment,True,False,0.625,0.0,0.625,0.0,81,58,False,True,False
875,"All of a sudden I sat down on the edge of the table, and put my face in my hands, sobbing out a 'Mon Dieu! ",I sat down on the table and started laughing out loudly.,contradiction,contradiction,entailment,True,False,0.75,-0.62890625,0.75,0.62890625,107,56,False,True,False
882,"I see, said Tuppence thoughtfully.","Tuppence, showing careful consideration, said ""I understand"".",entailment,entailment,neutral,True,False,0.6875,-0.3125,0.6875,0.3125,34,61,False,True,False
900,"Carmel Man, a relation of the Neanderthal family, lived here 600,000 years ago.",Carmel Man isn't alive today.,entailment,entailment,contradiction,True,False,0.5,-0.125,0.5,0.125,79,29,False,True,False
905,Text Box 2.1: Gross Domestic Product and Gross National Product 48Text Box 4.1: How do the NIPA and federal unified budget concepts of,Text about GBP and USD.,contradiction,contradiction,entailment,True,False,0.5,-0.9453125,0.5,0.9453125,134,23,False,True,False
915,He and his associates weren't operating at the level of metaphor.,His associates' boss was operating at the level of the metaphor. ,contradiction,contradiction,entailment,True,False,0.328125,-0.375,0.328125,0.375,65,65,False,True,False
923,"The tip was hooked towards the edge, the same way the tips are hammered for knives used for slaughter.",They were fragile and could not leave a scratch. ,contradiction,contradiction,entailment,True,False,0.25,-0.125,0.25,0.125,102,49,False,True,False
