doc_id,question,choices,correct_answer,llada_prediction,llama_prediction,llada_correct,llama_correct,llada_margin,llama_margin,llada_confidence,llama_confidence,question_length,num_choices,agreement,llada_advantage,llama_advantage
26,"Q: Tracy led their army and fought hard in the war until they sat upon the throne. How would you describe Tracy? 
  choice: Peasant
  choice: Powerful
  choice: Ruler
A:","['Peasant', 'Ruler', 'Powerful']",Powerful,Powerful,Peasant,True,False,2.386979103088379,-0.25,2.386979103088379,0.25,169,3,False,True,False
27,"Q: Kendall watched baseball with his friends after working hard all week at his job. What will Kendall want to do next? 
  choice: Avoid talking to his friends
  choice: Cheer his team with his friends
  choice: Needed to please her boss
A:","['Avoid talking to his friends', 'Cheer his team with his friends', 'Needed to please her boss']",Cheer his team with his friends,Cheer his team with his friends,Cheer his team with his friends,True,True,2.754894755780697,0.5,2.754894755780697,0.5,240,3,True,False,False
28,"Q: kai was bored and had nothing to do so he played card games. What will Kai want to do next? 
  choice: Do math homework
  choice: Do nothing
  choice: Watch television
A:","['Do math homework', 'Do nothing', 'Watch television']",Watch television,Do math homework,Do math homework,False,False,-3.2740928381681442,-1.578125,3.2740928381681442,1.578125,173,3,True,False,False
29,"Q: Robin changed Aubrey into clean clothes, so they can both go to the big play. What will Robin want to do next? 
  choice: Entertained
  choice: Find clean clothes to wear
  choice: Wash the dirty laundry
A:","['Wash the dirty laundry', 'Find clean clothes to wear', 'Entertained']",Wash the dirty laundry,Find clean clothes to wear,Find clean clothes to wear,False,False,-8.49964764714241,-2.828125,8.49964764714241,2.828125,209,3,True,False,False
30,"Q: Kendall wrapped string around my neck to measure the collar of a shirt. What will Others want to do next? 
  choice: Buy a shirt
  choice: Buy pants
  choice: Measure other body parts
A:","['Measure other body parts', 'Buy pants', 'Buy a shirt']",Measure other body parts,Buy a shirt,Buy a shirt,False,False,-9.933940600603819,-1.8125,9.933940600603819,1.8125,189,3,True,False,False
31,"Q: Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead. How would Kai feel as a result? 
  choice: Betrayed by Aubrey
  choice: Giving to others
  choice: Wanting to help people
A:","['Giving to others', 'Betrayed by Aubrey', 'Wanting to help people']",Betrayed by Aubrey,Betrayed by Aubrey,Betrayed by Aubrey,True,True,5.947605282068253,1.546875,5.947605282068253,1.546875,225,3,True,False,False
32,"Q: jan took them to NYC so that they could experience the city for the first time. What will Others want to do next? 
  choice: Look around
  choice: Look nowhere
  choice: Make sure they get a good first impression of NYC
A:","['Look around', 'Look nowhere', 'Make sure they get a good first impression of NYC']",Look around,Make sure they get a good first impression of NYC,Look around,False,True,-2.1479157209396362,0.6875,2.1479157209396362,0.6875,225,3,False,False,True
33,"Q: Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong. Why did Tracy do this? 
  choice: Prove that they know the truth
  choice: Tracy who has got alot of details wrong
  choice: Tracy who has through watching the history channel
A:","['Tracy who has through watching the history channel', 'Prove that they know the truth', 'Tracy who has got alot of details wrong']",Prove that they know the truth,Tracy who has got alot of details wrong,Prove that they know the truth,False,True,-1.0503354966640472,1.40625,1.0503354966640472,1.40625,288,3,False,False,True
34,"Q: carson hated lee and his family so he took the risk to injure lee. How would you describe Carson? 
  choice: As mean
  choice: Carson who has hated lee
  choice: To risk injure lee
A:","['Carson who has hated lee', 'As mean', 'To risk injure lee']",As mean,As mean,As mean,True,True,1.6047838926315308,1.3515625,1.6047838926315308,1.3515625,186,3,True,False,False
35,"Q: Robin stayed outside and tried to finish the game of volleyball she was playing. How would Robin feel afterwards? 
  choice: Brave
  choice: Energetic
  choice: Tired
A:","['Energetic', 'Brave', 'Tired']",Tired,Energetic,Tired,False,True,-5.2596120573580265,1.3359375,5.2596120573580265,1.3359375,172,3,False,False,True
36,"Q: Carson returned to Robin's house after previously storming out during a huge fight. How would Carson feel afterwards? 
  choice: Happy
  choice: Humiliated
  choice: Proud
A:","['Proud', 'Humiliated', 'Happy']",Humiliated,Humiliated,Humiliated,True,True,4.670957699418068,0.046875,4.670957699418068,0.046875,177,3,True,False,False
37,"Q: Robin didn't know why she was having bad luck but found the answer. How would Robin feel afterwards? 
  choice: Determined because she discovered the answer
  choice: Scared to do much
  choice: Well
A:","['Well', 'Determined because she discovered the answer', 'Scared to do much']",Determined because she discovered the answer,Determined because she discovered the answer,Determined because she discovered the answer,True,True,3.3590817973017693,1.20703125,3.3590817973017693,1.20703125,205,3,True,False,False
38,"Q: Jordan's son was growing out of their shoes. Jordan took their son to the shoe store. How would Jordan's son feel as a result? 
  choice: Ready to find shoes
  choice: Ready to go home
  choice: Upset and frustrated
A:","['Ready to go home', 'Upset and frustrated', 'Ready to find shoes']",Ready to find shoes,Ready to find shoes,Upset and frustrated,True,False,6.513663832098246,-0.640625,6.513663832098246,0.640625,221,3,False,True,False
39,"Q: ash was cut short even though everyone wanted to hear what ash had to say. What will happen to Others? 
  choice: Be happy
  choice: Enjoy the events
  choice: Protest the events
A:","['Be happy', 'Enjoy the events', 'Protest the events']",Protest the events,Protest the events,Be happy,True,False,2.124933645129204,-1.5,2.124933645129204,1.5,184,3,False,True,False
40,"Q: Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in. What will happen to Jordan? 
  choice: Guilty
  choice: Lose a bet
  choice: Proud
A:","['Lose a bet', 'Proud', 'Guilty']",Guilty,Guilty,Guilty,True,True,1.4672838151454926,1.625,1.4672838151454926,1.625,173,3,True,False,False
41,"Q: jordan wanted to be nice to a girl so he took her to the shoe store. What does Jordan need to do before this? 
  choice: Ask the girl on a date
  choice: Be kind
  choice: Buy the girl some shoes
A:","['Buy the girl some shoes', 'Ask the girl on a date', 'Be kind']",Ask the girl on a date,Ask the girl on a date,Ask the girl on a date,True,True,0.4482704773545265,0.8203125,0.4482704773545265,0.8203125,201,3,True,False,False
42,"Q: Aubrey understood Remy better and met his needs more efficiently as his nurse. How would Remy feel as a result? 
  choice: Anxious as a result
  choice: Desperate as a result
  choice: Hopeful as a result
A:","['Anxious as a result', 'Hopeful as a result', 'Desperate as a result']",Hopeful as a result,Hopeful as a result,Hopeful as a result,True,True,4.360910579562187,0.34375,4.360910579562187,0.34375,210,3,True,False,False
43,"Q: Aubrey kept the baby up at night to watch for a concussion. What will happen to Aubrey? 
  choice: And the baby both fell asleep late in the night
  choice: Gets so sleepy but stays awake anyway
  choice: The baby fell asleep despite Aubrey's best effort
A:","[""The baby fell asleep despite Aubrey's best effort"", 'Gets so sleepy but stays awake anyway', 'And the baby both fell asleep late in the night']",Gets so sleepy but stays awake anyway,Gets so sleepy but stays awake anyway,And the baby both fell asleep late in the night,True,False,2.8212294578552246,-2.65625,2.8212294578552246,2.65625,260,3,False,True,False
44,"Q: Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie. How would Riley feel as a result of this? 
  choice: Like a baby
  choice: Protective of Riley
  choice: Scared of the scene
A:","['Scared of the scene', 'Like a baby', 'Protective of Riley']",Like a baby,Protective of Riley,Like a baby,False,True,-0.03119603544473648,0.3984375,0.03119603544473648,0.3984375,227,3,False,False,True
45,"Q: Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding. What does Quinn need to do before this? 
  choice: Be caring
  choice: Hold the gift in plain sight
  choice: Pick out a gift for Jordan
A:","['Pick out a gift for Jordan', 'Be caring', 'Hold the gift in plain sight']",Pick out a gift for Jordan,Pick out a gift for Jordan,Be caring,True,False,0.6415095776319504,-2.703125,0.6415095776319504,2.703125,236,3,False,True,False
46,"Q: Bailey passed Jesse on his driving examination after he passed with flying colors. What does Bailey need to do before this? 
  choice: Buy a car
  choice: Celebrate
  choice: Test Jesse before this
A:","['Test Jesse before this', 'Buy a car', 'Celebrate']",Test Jesse before this,Test Jesse before this,Test Jesse before this,True,True,1.7813449054956436,0.2734375,1.7813449054956436,0.2734375,203,3,True,False,False
47,"Q: Austin was taking a test and found it difficult at first. How would you describe Austin? 
  choice: A student
  choice: Overwhelmed
  choice: Stupid
A:","['A student', 'Stupid', 'Overwhelmed']",Overwhelmed,Overwhelmed,A student,True,False,6.270224176347256,-0.03125,6.270224176347256,0.03125,154,3,False,True,False
48,"Q: Quinn was playing and froliking in the snow, making snow angels and snowballs. How would you describe Quinn? 
  choice: A big fan of the band
  choice: A big fan of the outdoors
  choice: Lighthearted and lonely
A:","['A big fan of the band', 'Lighthearted and lonely', 'A big fan of the outdoors']",A big fan of the outdoors,A big fan of the outdoors,A big fan of the outdoors,True,True,6.183469843119383,0.453125,6.183469843119383,0.453125,217,3,True,False,False
49,"Q: Tracy gave money to my friend who needed it but failed to by it back as they promised. What will happen to Tracy? 
  choice: Be disappointed in them
  choice: Lose trust in my friend
  choice: Yell at them
A:","['Yell at them', 'Be disappointed in them', 'Lose trust in my friend']",Lose trust in my friend,Lose trust in my friend,Be disappointed in them,True,False,0.9221177324652672,-1.8828125,0.9221177324652672,1.8828125,211,3,False,True,False
50,"Q: Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work. How would you describe Cameron? 
  choice: A success as a teacher
  choice: Honest
  choice: Vengeful
A:","['Honest', 'A success as a teacher', 'Vengeful']",A success as a teacher,Honest,A success as a teacher,False,True,-1.215317778289318,1.828125,1.215317778289318,1.828125,196,3,False,False,True
51,"Q: Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head. What will Skylar want to do next? 
  choice: Run away
  choice: Wait for a reaction
  choice: Wanted to fight with the bully
A:","['Run away', 'Wait for a reaction', 'Wanted to fight with the bully']",Run away,Run away,Run away,True,True,1.1498434841632843,0.453125,1.1498434841632843,0.453125,219,3,True,False,False
52,"Q: Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account. How would you describe Remy? 
  choice: Cheated
  choice: Feeling bored
  choice: Feeling loved
A:","['Feeling bored', 'Feeling loved', 'Cheated']",Cheated,Feeling loved,Feeling loved,False,False,-3.5405151546001434,-0.734375,3.5405151546001434,0.734375,193,3,True,False,False
53,"Q: Skylar was on the phone while at the national park. They lent little attention to the view. What will Skylar want to do next? 
  choice: Build
  choice: Get Skylar off the phone
  choice: Sleep
A:","['Get Skylar off the phone', 'Sleep', 'Build']",Get Skylar off the phone,Build,Get Skylar off the phone,False,True,-1.2416872382164001,0.2109375,1.2416872382164001,0.2109375,199,3,False,False,True
54,"Q: Sydney works as a preschool teacher, and helped trace Robin's fingers. Why did Sydney do this? 
  choice: Make artwork
  choice: Make popcorn
  choice: Teach her class the alphabet
A:","['Make popcorn', 'Teach her class the alphabet', 'Make artwork']",Make artwork,Teach her class the alphabet,Make artwork,False,True,-5.623183746822178,0.7421875,5.623183746822178,0.7421875,186,3,False,False,True
55,"Q: Jan was pregnant and she gave birth to a beautiful baby daughter. How would you describe Jan? 
  choice: A mother
  choice: Exhausted
  choice: Ready to take a spin class
A:","['A mother', 'Exhausted', 'Ready to take a spin class']",A mother,A mother,A mother,True,True,6.541764795780182,2.640625,6.541764795780182,2.640625,176,3,True,False,False
56,"Q: Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out. What will Kendall want to do next? 
  choice: Gather jars
  choice: Watered a few of her pets
  choice: Watered a few of the plants
A:","['Watered a few of the plants', 'Gather jars', 'Watered a few of her pets']",Watered a few of the plants,Gather jars,Gather jars,False,False,-5.610529735684395,-1.703125,5.610529735684395,1.703125,243,3,True,False,False
57,"Q: Knowing skylar would want to go too, Kendall took Skylar into account. Why did Kendall do this? 
  choice: Get this over with
  choice: Help skylar
  choice: Kendall who has want to skylar
A:","['Kendall who has want to skylar', 'Get this over with', 'Help skylar']",Help skylar,Help skylar,Get this over with,True,False,8.518492475152016,-0.1328125,8.518492475152016,0.1328125,194,3,False,True,False
58,"Q: Aubrey was a police officer. She pulled Casey over for speeding in a construction zone. What will Casey want to do next? 
  choice: Keep construction workers safe
  choice: Make an excuse
  choice: Speed off
A:","['Keep construction workers safe', 'Speed off', 'Make an excuse']",Make an excuse,Keep construction workers safe,Keep construction workers safe,False,False,-2.718508303165436,-0.6640625,2.718508303165436,0.6640625,213,3,True,False,False
59,"Q: Riley granted Jan the highest title of the kingdom and celebrated with a feast. What will Jan want to do next? 
  choice: Celebrate all night with the kingdom
  choice: Indifferent
  choice: Proud
A:","['Celebrate all night with the kingdom', 'Proud', 'Indifferent']",Celebrate all night with the kingdom,Celebrate all night with the kingdom,Celebrate all night with the kingdom,True,True,5.026743268594146,1.5859375,5.026743268594146,1.5859375,202,3,True,False,False
60,"Q: After being kicked out of the house by his parents, Jordan needed a place to live. How would you describe Jordan? 
  choice: Extremely hardworking
  choice: Quite lazy
  choice: Sad
A:","['Quite lazy', 'Sad', 'Extremely hardworking']",Sad,Extremely hardworking,Extremely hardworking,False,False,-2.1418337225914,-1.7421875,2.1418337225914,1.7421875,187,3,True,False,False
61,"Q: Remy gave birth to a baby girl on a Saturday afternoon. What does Remy need to do before this? 
  choice: Did this to start a family
  choice: Go to the hospital
  choice: Leave her husband
A:","['Leave her husband', 'Did this to start a family', 'Go to the hospital']",Go to the hospital,Did this to start a family,Go to the hospital,False,True,-1.906787097454071,2.328125,1.906787097454071,2.328125,195,3,False,False,True
62,"Q: Alex was no longer raising Sasha but she did give birth to Sasha. What will Alex want to do next? 
  choice: Ask to visit Sasha
  choice: Build a relationship with Sasha
  choice: Kidnap Sasha from home
A:","['Build a relationship with Sasha', 'Ask to visit Sasha', 'Kidnap Sasha from home']",Ask to visit Sasha,Ask to visit Sasha,Ask to visit Sasha,True,True,2.1661912351846695,1.640625,2.1661912351846695,1.640625,208,3,True,False,False
63,"Q: Jordan gave Robin advice about a job interview as Jordan already worked at the company and knew the questions that would be asked at teh interview stage. How would Robin feel afterwards? 
  choice: Be prepared
  choice: Disgusted
  choice: Supported
A:","['Disgusted', 'Be prepared', 'Supported']",Supported,Supported,Be prepared,True,False,0.7363648414611816,-0.2734375,0.7363648414611816,0.2734375,255,3,False,True,False
64,"Q: Cameron went out of her way to buy food for the homeless. How would Cameron feel afterwards? 
  choice: Happy
  choice: Mad
  choice: Upset
A:","['Mad', 'Upset', 'Happy']",Happy,Happy,Happy,True,True,10.9921875,2.75,10.9921875,2.75,145,3,True,False,False
65,"Q: Sydney played Kendall's heart when she pretended to be interested in him at the party. What will happen to Kendall? 
  choice: Be angry at Sydney
  choice: Be excited
  choice: Date Sydney
A:","['Be angry at Sydney', 'Be excited', 'Date Sydney']",Be angry at Sydney,Be angry at Sydney,Be angry at Sydney,True,True,3.345092050731182,0.34375,3.345092050731182,0.34375,194,3,True,False,False
66,"Q: Cameron's parents told them to do well at school or they would be grounded.  Cameron took their words seriously. What will happen to Cameron? 
  choice: Have his assignments done by their classmates
  choice: Listen or face severe punishment
  choice: Study very hard
A:","['Listen or face severe punishment', 'Study very hard', 'Have his assignments done by their classmates']",Study very hard,Study very hard,Listen or face severe punishment,True,False,0.872307701036334,-0.5546875,0.872307701036334,0.5546875,273,3,False,True,False
67,"Q: Jan took me to NYC to celebrate my birthday before the baby was born. What will Others want to do after? 
  choice: Get a flight to NYC
  choice: Leave me in NYC
  choice: Wish me a happy birthday
A:","['Leave me in NYC', 'Wish me a happy birthday', 'Get a flight to NYC']",Wish me a happy birthday,Get a flight to NYC,Get a flight to NYC,False,False,-0.4681789129972458,-3.671875,0.4681789129972458,3.671875,202,3,True,False,False
68,"Q: It was a pretty sunny day outside. Quinn walked instead. What does Quinn need to do before this? 
  choice: Have fun
  choice: Move their feet
  choice: Notice the sun
A:","['Have fun', 'Notice the sun', 'Move their feet']",Move their feet,Move their feet,Have fun,True,False,3.9183208160102367,-0.21875,3.9183208160102367,0.21875,173,3,False,True,False
69,"Q: Kai was grounded after wrecking his mother's car so he handed back the keys. What will Kai want to do next? 
  choice: Rent out the car
  choice: Wanted to stay out of trouble
  choice: Work hard at home
A:","['Wanted to stay out of trouble', 'Work hard at home', 'Rent out the car']",Wanted to stay out of trouble,Wanted to stay out of trouble,Rent out the car,True,False,4.1634779423475266,-1.8671875,4.1634779423475266,1.8671875,209,3,False,True,False
70,"Q: Jordan got his leg bitten off by a shark while he was surfing. Jordan made light of the handicap. Why did Jordan do this? 
  choice: Needed to have a surf board
  choice: Not show others he was suffering
  choice: Show that he only needed one leg
A:","['Show that he only needed one leg', 'Needed to have a surf board', 'Not show others he was suffering']",Not show others he was suffering,Not show others he was suffering,Not show others he was suffering,True,True,1.6876656785607338,0.953125,1.6876656785607338,0.953125,252,3,True,False,False
71,"Q: Kendall knew that Skylar has a difficult work schedule and needed to accomodate that when planning the vacation. How would Skylar feel as a result? 
  choice: Excited about work
  choice: Grateful to Kendall
  choice: That they are looking forward to their vacation
A:","['Grateful to Kendall', 'Excited about work', 'That they are looking forward to their vacation']",Grateful to Kendall,Grateful to Kendall,Excited about work,True,False,4.48582299798727,-0.9375,4.48582299798727,0.9375,271,3,False,True,False
72,"Q: But she didn't want to be on the team so walked off the court. Why did Aubrey do this? 
  choice: Being on the team was her big dream
  choice: Wanted to spend more time at home
  choice: Wanted to win the championship
A:","['Wanted to spend more time at home', 'Wanted to win the championship', 'Being on the team was her big dream']",Wanted to spend more time at home,Being on the team was her big dream,Being on the team was her big dream,False,False,-1.2757906019687653,-2.84375,1.2757906019687653,2.84375,224,3,True,False,False
73,"Q: Carson was at a friend's house across town from where he lived playing video games. How would Carson feel afterwards? 
  choice: Ready to go for a short stroll back to his home
  choice: Sad that he will have to stop playing video games
  choice: Too dark outside
A:","['Sad that he will have to stop playing video games', 'Too dark outside', 'Ready to go for a short stroll back to his home']",Sad that he will have to stop playing video games,Ready to go for a short stroll back to his home,Ready to go for a short stroll back to his home,False,False,-7.922489119606325,-1.3046875,7.922489119606325,1.3046875,269,3,True,False,False
74,"Q: Kendall took their dog to the new dog park in the neighborhood. What will Kendall want to do next? 
  choice: Give it a bath
  choice: Meet other dog owners
  choice: Walk their dog
A:","['Give it a bath', 'Walk their dog', 'Meet other dog owners']",Meet other dog owners,Meet other dog owners,Give it a bath,True,False,3.649460840970278,-0.3046875,3.649460840970278,0.3046875,187,3,False,True,False
